name,suburb,email,phone,website,source_url,verified,notes
Hoppers Crossing Dental,Hoppers Crossing,info@hopperscrossingdental.com.au,(03) 9748 5555,https://www.hopperscrossingdental.com.au,https://www.hopperscrossingdental.com.au/contact-us/,yes,80 Heaths Rd
Hogans Road Dental,Hoppers Crossing,info@hogansroaddental.com.au,(03) 9748 8433,https://www.hogansroaddental.com.au,https://www.hogansroaddental.com.au/contact-us/,yes,63 Hogans Rd
Dental@Hoppers,Hoppers Crossing,reception@dentalathoppers.com.au,(03) 8763 2885,https://dentalathoppers.com.au,https://dentalathoppers.com.au/contact-us/,yes,599 Sayers Rd
Connect Dental Care,Hoppers Crossing,info@connectdentalcare.com.au,(03) 8086 2233,https://connectdentalcare.com.au,https://connectdentalcare.com.au/,yes,63 Morris Rd
JK Dental,Hoppers Crossing,info@jkdental.com.au,(03) 9749 5045,https://dentisthopperscrossing.com.au,https://dentisthopperscrossing.com.au/contact-us/,yes,121 Heaths Rd
Quattro Dental,Hoppers Crossing,info@quattrodental.com.au,03 9731 6555,https://quattrodental.com.au,https://quattrodental.com.au/contact-us/,yes,237-239 Hogans Rd
Wyndham Smile Care,Hoppers Crossing,wyndhamsmilecare@hotmail.com,(03) 9749 0422,https://wyndhamsmilecare.com.au,https://wyndhamsmilecare.com.au/contact-us/,yes,381 Sayers Rd - free webmail
Hoppers Crossing Dentist,Hoppers Crossing,hopperscrossingdentist@gmail.com,(03) 9748 9573,https://www.hopperscrossingdentist.com.au,https://www.hopperscrossingdentist.com.au/contact-us/,yes,184 Derrimut Rd - free webmail
Wyndham Dental,Werribee,info@wyndhamdental.com.au,(03) 9741 1009,https://wyndhamdental.com.au,https://wyndhamdental.com.au/contact-us/,yes,19 Princes Hwy
Werribee Dental Clinic,Werribee,reception@werribeedental.com.au,03 9741 2666,https://werribeedental.com.au,https://werribeedental.com.au/contact-us/,yes,84 Cottrell St
Heaths Road Family Dental Clinic,Werribee,info@heathsroaddentalclinic.com.au,0468 762 769,https://www.heathsroaddentalclinic.com.au,https://www.heathsroaddentalclinic.com.au/,yes,241 Heaths Rd
Core Dental Wyndham,Werribee,wyndham@coredental.com.au,(03) 9749 6677,https://www.coredental.com.au/locations/wyndham/,https://www.coredental.com.au/locations/wyndham/,yes,242 Hoppers Ln - corporate group
The Point Dental,Point Cook,enquiries@thepointdental.com.au,(03) 8360 9998,https://www.thepointdental.com.au,https://www.thepointdental.com.au/,yes,105/22-30 Wallace Ave
Reneu Smiles,Point Cook,care@reneusmiles.com.au,03 8000 4005,https://reneusmiles.com.au,https://reneusmiles.com.au/contact/,yes,Sanctuary Lakes Shopping Centre
Point Cook Dental Group,Point Cook,info@pcdentalgroup.com.au,03 8375 0388,https://www.pcdentalgroup.com.au,https://www.pcdentalgroup.com.au/,yes,76 Boardwalk Blvd
Supreme Dental Boardwalk,Point Cook,admin@supremedentalboardwalk.com.au,(03) 8353 9100,https://supremedentalboardwalk.com.au,https://supremedentalboardwalk.com.au/contact-us/,yes,1 Eagles Nest Way
Alkassab Dental Surgery,Point Cook,contact@alkassabdental.com.au,03 9395 8975,https://www.alkassabdental.com.au,https://www.alkassabdental.com.au/contact-us/,yes,15 Kenswick St
Wyndham Village Dental,Tarneit,info@wyndhamvillagedental.com.au,(03) 8742 1018,https://wyndhamvillagedental.com.au,https://wyndhamvillagedental.com.au/contact-us,yes,Wyndham Village SC 380 Sayers Rd
Tarneit Dental Care,Tarneit,reception@tarneitdentalcare.com.au,(03) 9749 4491,https://tarneitdentalcare.com.au,https://tarneitdentalcare.com.au/contact-us/,yes,429 Sayers Rd
Smile Dental Studios Tarneit,Tarneit,reception@smiledentalstudios.com.au,(03) 9117 6800,https://www.smiledentalstudios.com.au,https://www.smiledentalstudios.com.au/contact-us/,yes,205 Bethany Rd
Dazzling Smiles Dental,Tarneit,dazzlingsmilestarneit@gmail.com,03 8087 8455,https://www.dazzlingsmilestarneit.com.au,https://www.dazzlingsmilestarneit.com.au/contact-us/,yes,Shop T21/540 Derrimut Rd - free webmail
Your Dental,Williams Landing,reception@yourdental.com.au,(03) 7009 6708,https://yourdental.com.au,https://yourdental.com.au/contact-us/,yes,Shop 1/89 Overton Rd
Manor Lakes Dental Centre,Wyndham Vale,info@manorlakesdental.com.au,(03) 9742 4533,https://manorlakesdental.com.au,https://manorlakesdental.com.au/contacts/,yes,15 Manor Lakes Blvd
32 Pearls Dental,Wyndham Vale,info32pearls@gmail.com,03 8742 3338,https://32pearlsdental.com.au,https://32pearlsdental.com.au/contact-us/,yes,Shop 29/455 Ballan Rd - free webmail
Sanctuary Lakes Family Dental,Point Cook,,(03) 9395 5232,https://www.sanctuarylakesfamilydental.com.au,https://www.sanctuarylakesfamilydental.com.au/contact-us/,no-email,Contact form only
The Dental Gallery,Point Cook,,(03) 9395 8338,https://thedentalgallery.com.au,https://thedentalgallery.com.au/contact-us/,no-email,Contact form only
Williams Landing Dental Clinic,Williams Landing,,03 8360 5295,https://williamslandingdentalclinic.com.au,https://williamslandingdentalclinic.com.au/,no-email,Suite 6 Level 1 100 Overton Rd
Progressive Era Dental,Truganina,,(03) 9071 3030,https://progressiveeradental.com.au,https://progressiveeradental.com.au/,no-email,341A Forsyth Rd - site publishes no email
Tarneit Smiles Family Dental,Tarneit,,03 8742 4788,https://tarneitsmiles.com.au,https://tarneitsmiles.com.au/contact-us/,no-email,937 Sayers Rd
Werribee Medical & Dental Centre,Werribee,,(03) 8734 0333,https://www.werribeemedicalcentre.com.au,https://www.werribeemedicalcentre.com.au/contact-us/,no-email,ForHealth corporate group
SmilePoint Dental Centre,Altona Meadows,,03 8360 9660,https://smilepoint.com.au,https://smilepoint.com.au/,no-email,23 Point Cook Rd - just outside Wyndham
Pacific Smiles Dental Werribee,Werribee,,,https://pacificsmilesdental.com.au/locations/werribee/,,no-email,Corporate group - central marketing contact
Bupa Dental Werribee,Werribee,,+61 3 7024 2622,https://www.bupadental.com.au/find-a-dentist/vic-werribee-3030-au/bupa-dental-werribee,,no-email,Corporate group - Pacific Werribee
IPC Health Hoppers Crossing,Hoppers Crossing,,1300 472 432,https://www.ipchealth.com.au,,no-email,Community health - public dental
HealthWest Dental Clinic,Truganina,,03 9121 3710,,,no-email,549 Morris Rd - community health
